id,汉字,出现次数,频率（%）,累积频率（%）
2628,烁,246,0.0016,98.7467
2629,狮,246,0.0016,98.7435
2630,乒,246,0.0016,98.7451
2631,薛,245,0.0016,98.7499
2632,侮,245,0.0016,98.7515
2633,阎,245,0.0016,98.7531
2634,嗽,245,0.0016,98.7483
2635,朦,244,0.0016,98.7547
2636,喃,244,0.0016,98.7563
2637,埔,242,0.0016,98.7579
2638,蝇,241,0.0015,98.7594
2639,锣,241,0.0015,98.7609
2640,炒,241,0.0015,98.7624
2641,娶,241,0.0015,98.7639
2642,棕,240,0.0015,98.7699
2643,韧,240,0.0015,98.7729
2644,礁,240,0.0015,98.7714
2645,陀,240,0.0015,98.7744
2646,肆,240,0.0015,98.7654
2647,乖,240,0.0015,98.7669
2648,禄,240,0.0015,98.7684
2649,骆,239,0.0015,98.7804
2650,驯,239,0.0015,98.7759
2651,匙,239,0.0015,98.7774
2652,萎,239,0.0015,98.7789
2653,舶,238,0.0015,98.7819
2654,滔,238,0.0015,98.7834
2655,卤,238,0.0015,98.7849
2656,摹,238,0.0015,98.7864
2657,昔,238,0.0015,98.7879
2658,陋,237,0.0015,98.7894
2659,雁,237,0.0015,98.7924
2660,耿,237,0.0015,98.7939
2661,裳,237,0.0015,98.7909
2662,崭,236,0.0015,98.7954
2663,妆,236,0.0015,98.7969
2664,勋,236,0.0015,98.7984
2665,侣,235,0.0015,98.7999
2666,闸,235,0.0015,98.8014
2667,贬,234,0.0015,98.8029
2668,痰,234,0.0015,98.8059
2669,喧,234,0.0015,98.8044
2670,膛,234,0.0015,98.8104
2671,胧,234,0.0015,98.8089
2672,辫,234,0.0015,98.8074
2673,烯,232,0.0015,98.8119
2674,丫,231,0.0015,98.8224
2675,铀,231,0.0015,98.8254
2676,甸,231,0.0015,98.8239
2677,犁,231,0.0015,98.8209
2678,幢,231,0.0015,98.8194
2679,窑,231,0.0015,98.8269
2680,羡,231,0.0015,98.8179
2681,坪,231,0.0015,98.8164
2682,缀,231,0.0015,98.8134
2683,坤,231,0.0015,98.8149
2684,汹,230,0.0015,98.8314
2685,柑,230,0.0015,98.8299
2686,淹,230,0.0015,98.8284
2687,杉,229,0.0015,98.8329
2688,棺,228,0.0015,98.8389
2689,怖,228,0.0015,98.8344
2690,腻,228,0.0015,98.8359
2691,薯,228,0.0015,98.8374
2692,锈,227,0.0015,98.8404
2693,魅,227,0.0015,98.8449
2694,炳,227,0.0015,98.8434
2695,洽,227,0.0015,98.8419
2696,诵,226,0.0015,98.8464
2697,咪,226,0.0015,98.8479
2698,椎,226,0.0015,98.8494
2699,畔,226,0.0015,98.8509
2700,玫,226,0.0015,98.8524
2701,柿,225,0.0014,98.858
2702,帜,225,0.0014,98.8566
2703,桐,225,0.0014,98.8538
2704,襟,225,0.0014,98.8552
2705,筷,224,0.0014,98.8608
2706,帆,224,0.0014,98.8594
2707,唔,223,0.0014,98.8622
2708,匈,223,0.0014,98.8636
2709,嵌,222,0.0014,98.865
2710,梳,222,0.0014,98.8664
2711,鳞,222,0.0014,98.8678
2712,佣,222,0.0014,98.8692
2713,莎,221,0.0014,98.8776
2714,熄,221,0.0014,98.8706
2715,砌,221,0.0014,98.872
2716,昧,221,0.0014,98.8734
2717,噪,221,0.0014,98.8748
2718,簧,221,0.0014,98.8762
2719,婉,220,0.0014,98.879
2720,毯,220,0.0014,98.8804
2721,孵,220,0.0014,98.8818
2722,憾,220,0.0014,98.8832
2723,谎,219,0.0014,98.8846
2724,坠,218,0.0014,98.8902
2725,煞,218,0.0014,98.8888
2726,藉,218,0.0014,98.886
2727,嗡,218,0.0014,98.8874
2728,绑,218,0.0014,98.8916
2729,妖,217,0.0014,98.893
2730,蝴,217,0.0014,98.8972
2731,瑰,217,0.0014,98.8986
2732,揉,217,0.0014,98.8958
2733,苔,217,0.0014,98.8944
2734,拌,216,0.0014,98.9028
2735,莹,216,0.0014,98.9
2736,昭,216,0.0014,98.9014
2737,汰,215,0.0014,98.9056
2738,拂,215,0.0014,98.9042
2739,嗅,214,0.0014,98.9112
2740,钮,214,0.0014,98.9098
2741,鄙,214,0.0014,98.9084
2742,撰,214,0.0014,98.907
2743,盏,213,0.0014,98.9168
2744,烘,213,0.0014,98.9154
2745,谣,213,0.0014,98.914
2746,稣,213,0.0014,98.9126
2747,竿,212,0.0014,98.9182
2748,皖,212,0.0014,98.9196
2749,锥,210,0.0014,98.9238
2750,烃,210,0.0014,98.921
2751,犬,210,0.0014,98.9224
2752,喀,209,0.0013,98.9264
2753,-,209,0.0013,98.9277
2754,皂,209,0.0013,98.929
2755,蔓,209,0.0013,98.9303
2756,蕊,209,0.0013,98.9316
2757,疮,209,0.0013,98.9251
2758,咒,208,0.0013,98.9342
2759,僻,208,0.0013,98.9329
2760,炯,207,0.0013,98.9355
2761,寇,207,0.0013,98.9368
2762,铭,207,0.0013,98.9381
2763,薪,207,0.0013,98.9394
2764,恍,206,0.0013,98.9407
2765,辰,206,0.0013,98.942
2766,祈,205,0.0013,98.9433
2767,迭,205,0.0013,98.9446
2768,豁,204,0.0013,98.9472
2769,斩,204,0.0013,98.9485
2770,屡,204,0.0013,98.9459
2771,啼,203,0.0013,98.9511
2772,椒,203,0.0013,98.9524
2773,啡,203,0.0013,98.9537
2774,稽,203,0.0013,98.9498
2775,烤,203,0.0013,98.955
2776,澡,202,0.0013,98.9602
2777,籽,202,0.0013,98.9576
2778,洼,202,0.0013,98.9589
2779,茨,202,0.0013,98.9563
2780,榴,201,0.0013,98.9628
2781,唾,201,0.0013,98.9641
2782,巫,201,0.0013,98.9615
2783,乞,200,0.0013,98.9654
2784,焊,200,0.0013,98.9667
2785,杖,198,0.0013,98.9758
2786,贱,198,0.0013,98.9771
2787,咚,198,0.0013,98.9745
2788,蜘,198,0.0013,98.9732
2789,扒,198,0.0013,98.968
2790,隋,198,0.0013,98.9719
2791,晌,198,0.0013,98.9706
2792,暮,198,0.0013,98.9693
2793,涤,197,0.0013,98.9784
2794,茧,196,0.0013,98.981
2795,拴,196,0.0013,98.9823
2796,闽,196,0.0013,98.9849
2797,叨,196,0.0013,98.9797
2798,伽,196,0.0013,98.9836
2799,喳,195,0.0013,98.9862
2800,腕,194,0.0012,98.9874
2801,斧,194,0.0012,98.9886
2802,怔,194,0.0012,98.9898
2803,咖,194,0.0012,98.991
2804,啄,193,0.0012,98.9922
2805,溯,193,0.0012,98.9934
2806,踱,193,0.0012,98.9946
2807,沦,192,0.0012,98.997
2808,锄,192,0.0012,98.9982
2809,畸,192,0.0012,98.9994
2810,脓,192,0.0012,98.9958
2811,疙,191,0.0012,99.0018
2812,炊,191,0.0012,99.003
2813,擅,191,0.0012,99.0006
2814,粤,190,0.0012,99.0054
2815,虏,190,0.0012,99.0066
2816,豹,190,0.0012,99.0078
2817,榨,190,0.0012,99.009
2818,棱,190,0.0012,99.0102
2819,簇,190,0.0012,99.0114
2820,莺,190,0.0012,99.0126
2821,撇,190,0.0012,99.0138
2822,绎,190,0.0012,99.015
2823,尉,190,0.0012,99.0042
2824,柬,189,0.0012,99.0174
2825,涩,189,0.0012,99.0162
2826,乓,189,0.0012,99.0186
2827,觅,188,0.0012,99.0258
2828,茄,188,0.0012,99.0198
2829,涯,188,0.0012,99.021
2830,狩,188,0.0012,99.0222
2831,憎,188,0.0012,99.0234
2832,蔚,188,0.0012,99.0246
2833,挚,187,0.0012,99.0306
2834,姥,187,0.0012,99.0294
2835,袄,187,0.0012,99.027
2836,捡,187,0.0012,99.0282
2837,旷,186,0.0012,99.0354
2838,镶,186,0.0012,99.0318
2839,碘,186,0.0012,99.033
2840,袜,186,0.0012,99.0342
2841,丸,185,0.0012,99.0366
2842,糙,185,0.0012,99.0378
2843,鲸,184,0.0012,99.045
2844,铵,184,0.0012,99.0462
2845,倚,184,0.0012,99.0438
2846,矢,184,0.0012,99.0474
2847,锌,184,0.0012,99.0402
2848,褂,184,0.0012,99.0426
2849,牡,184,0.0012,99.039
2850,硕,184,0.0012,99.0414
2851,憨,182,0.0012,99.0498
2852,淌,182,0.0012,99.0486
2853,禾,181,0.0012,99.051
2854,尹,180,0.0012,99.0654
2855,荆,180,0.0012,99.0642
2856,苟,180,0.0012,99.063
2857,聋,180,0.0012,99.0618
2858,潇,180,0.0012,99.0606
2859,庐,180,0.0012,99.0594
2860,煎,180,0.0012,99.0522
2861,勿,180,0.0012,99.0582
2862,彬,180,0.0012,99.0666
2863,醋,180,0.0012,99.057
2864,梭,180,0.0012,99.0558
2865,秉,180,0.0012,99.0546
2866,嗦,180,0.0012,99.0534
2867,掷,179,0.0012,99.0678
2868,悼,179,0.0012,99.069
2869,噜,179,0.0012,99.0702
2870,茵,179,0.0012,99.0714
2871,蓉,179,0.0012,99.0726
2872,矫,178,0.0011,99.0737
2873,憋,177,0.0011,99.0792
2874,翘,177,0.0011,99.0748
2875,琢,177,0.0011,99.0759
2876,挠,177,0.0011,99.077
2877,吭,177,0.0011,99.0781
2878,兑,176,0.0011,99.0803
2879,蔗,176,0.0011,99.0814
2880,瑟,176,0.0011,99.0825
2881,痒,176,0.0011,99.0836
2882,琐,175,0.0011,99.0902
2883,酋,175,0.0011,99.0891
2884,廖,175,0.0011,99.088
2885,璋,175,0.0011,99.0869
2886,槐,175,0.0011,99.0847
2887,闺,175,0.0011,99.0858
2888,拧,175,0.0011,99.0913
2889,彰,174,0.0011,99.0924
2890,菱,174,0.0011,99.0935
2891,呕,174,0.0011,99.0946
2892,瘩,174,0.0011,99.0957
2893,筐,174,0.0011,99.0968
2894,搂,174,0.0011,99.0979
2895,焚,174,0.0011,99.099
2896,迄,174,0.0011,99.1001
2897,垮,173,0.0011,99.1045
2898,缕,173,0.0011,99.1034
2899,谜,173,0.0011,99.1067
2900,钥,173,0.0011,99.1012
2901,嘟,173,0.0011,99.1023
2902,蠢,173,0.0011,99.1056
2903,Ｏ,172,0.0011,99.1078
2904,蛤,172,0.0011,99.1089
2905,馈,172,0.0011,99.11
2906,咨,172,0.0011,99.1111
2907,敷,171,0.0011,99.1122
2908,缅,171,0.0011,99.1133
2909,聂,171,0.0011,99.1144
2910,宠,171,0.0011,99.1155
2911,禧,170,0.0011,99.1199
2912,沼,170,0.0011,99.1166
2913,巍,170,0.0011,99.1188
2914,榆,170,0.0011,99.121
2915,宛,170,0.0011,99.1177
2916,绷,169,0.0011,99.1221
2917,俞,169,0.0011,99.1232
2918,眶,169,0.0011,99.1243
2919,吩,168,0.0011,99.1254
2920,筛,168,0.0011,99.1265
2921,菩,168,0.0011,99.1276
2922,钞,168,0.0011,99.1287
2923,诈,167,0.0011,99.1309
2924,嗨,167,0.0011,99.1331
2925,葫,167,0.0011,99.1342
2926,佃,167,0.0011,99.1298
2927,酱,167,0.0011,99.132
2928,颓,166,0.0011,99.1353
2929,渺,166,0.0011,99.1364
2930,揽,166,0.0011,99.1375
2931,躬,166,0.0011,99.1386
2932,歹,166,0.0011,99.1397
2933,焕,166,0.0011,99.1408
2934,啪,165,0.0011,99.1419
2935,溅,165,0.0011,99.143
2936,栋,165,0.0011,99.1441
2937,沛,165,0.0011,99.1452
2938,砚,164,0.0011,99.1463
2939,霖,164,0.0011,99.1474
2940,囚,163,0.001,99.1484
2941,侄,163,0.001,99.1494
2942,妃,162,0.001,99.1524
2943,氓,162,0.001,99.1504
2944,狡,162,0.001,99.1514
2945,瞥,161,0.001,99.1534
2946,沁,161,0.001,99.1544
2947,揣,161,0.001,99.1554
2948,峭,161,0.001,99.1564
2949,樱,160,0.001,99.1574
2950,禹,160,0.001,99.1584
2951,岔,160,0.001,99.1594
2952,暇,160,0.001,99.1604
2953,檐,160,0.001,99.1614
2954,澜,160,0.001,99.1624
2955,涅,159,0.001,99.1644
2956,粥,159,0.001,99.1654
2957,馏,159,0.001,99.1634
2958,嗜,158,0.001,99.1664
2959,笃,158,0.001,99.1674
2960,麟,158,0.001,99.1684
2961,铲,158,0.001,99.1694
2962,寅,157,0.001,99.1704
2963,剔,157,0.001,99.1714
2964,尧,157,0.001,99.1724
2965,扼,156,0.001,99.1764
2966,赣,156,0.001,99.1754
2967,稠,156,0.001,99.1774
2968,屿,156,0.001,99.1734
2969,胺,156,0.001,99.1744
2970,帖,155,0.001,99.1814
2971,堕,155,0.001,99.1784
2972,亥,155,0.001,99.1794
2973,揪,155,0.001,99.1804
2974,梧,154,0.001,99.1824
2975,麓,154,0.001,99.1854
2976,瀑,154,0.001,99.1864
2977,窍,154,0.001,99.1844
2978,懈,154,0.001,99.1834
2979,淤,153,0.001,99.1934
2980,腮,153,0.001,99.1924
2981,腥,153,0.001,99.1914
2982,绞,153,0.001,99.1944
2983,鹃,153,0.001,99.1874
2984,卒,153,0.001,99.1904
2985,蕉,153,0.001,99.1894
2986,枫,153,0.001,99.1884
2987,脯,152,0.001,99.1954
2988,腑,152,0.001,99.1964
2989,碟,151,0.001,99.2024
2990,莽,151,0.001,99.2034
2991,毙,151,0.001,99.2014
2992,婷,151,0.001,99.2054
2993,磕,151,0.001,99.2004
2994,熏,151,0.001,99.1994
2995,酵,151,0.001,99.1974
2996,薇,151,0.001,99.1984
2997,溴,151,0.001,99.2044
2998,弛,150,0.001,99.2104
2999,挟,150,0.001,99.2094
3000,棘,150,0.001,99.2064
